,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
315,Up,2009,,8.2,88.0,907448,293.0
316,Taken,2008,,7.8,51.0,556638,145.0
317,The Pursuit of Happyness,2006,,8.0,64.0,435234,163.57
318,3 Idiots,2009,,8.4,67.0,329785,6.53
319,Goldfinger,1964,,7.7,87.0,168153,51.08
320,The Fugitive,1993,,7.8,87.0,260881,183.88
321,My Cousin Vinny,1992,,7.6,68.0,103324,52.93
322,Lion,2016,,8.0,69.0,205252,51.74
323,Crash,2004,,7.7,66.0,414239,54.58
324,The Hobbit: The Desolation of Smaug,2013,,7.8,66.0,589239,258.37
325,Das Boot,1981,,8.3,86.0,225262,11.49
326,"Monsters, Inc.",2001,,8.0,79.0,791694,289.92
327,Aladdin,1992,,8.0,86.0,362433,217.35
328,For a Few Dollars More,1965,,8.3,74.0,224508,15.0
329,"Lock, Stock and Two Smoking Barrels",1998,,8.2,66.0,522333,3.9
330,Moonrise Kingdom,2012,,7.8,84.0,310213,45.51
331,The Untouchables,1987,,7.9,79.0,271662,76.27
332,Chhichhore,2019,,8.1,,26289,0.9
333,3:10 to Yuma,2007,,7.7,76.0,282602,53.61
334,Slumdog Millionaire,2008,,8.0,84.0,784104,141.32
335,Gravity,2013,,7.7,96.0,752945,274.09
336,Chinatown,1974,,8.2,92.0,285239,29.2
337,Little Miss Sunshine,2006,,7.8,80.0,430253,59.89
338,Moon,2009,,7.9,67.0,328473,5.01
339,Manchester by the Sea,2016,,7.8,96.0,236918,47.7
340,WALL·E,2008,,8.4,95.0,970541,223.81
341,Lawrence of Arabia,1962,,8.3,100.0,260227,44.82
342,The Lives of Others,2006,,8.4,89.0,347853,11.29
343,Fear and Loathing in Las Vegas,1998,,7.6,41.0,253826,10.68
344,Saw,2004,,7.6,46.0,370633,56.0
345,Fiddler on the Roof,1971,,8.0,67.0,38098,80.5
346,Kick-Ass,2010,,7.6,66.0,516461,48.07
347,Gran Torino,2008,,8.1,72.0,704638,148.1
348,500 Days of Summer,2009,,7.7,76.0,462760,32.39
349,Halloween,1978,,7.8,87.0,221383,47.0
350,What's Eating Gilbert Grape,1993,,7.8,73.0,209361,9.17
351,JFK,1991,,8.0,72.0,137860,70.41
352,The Last of the Mohicans,1992,,7.7,76.0,144957,75.51
353,Monty Python and the Holy Grail,1975,,8.2,93.0,489745,1.23
354,In Bruges,2008,,7.9,67.0,382218,7.76
355,Office Space,1999,,7.7,68.0,236875,10.82
356,Life of Pi,2012,,7.9,79.0,568264,124.99
357,Before Sunrise,1995,,8.1,77.0,260608,5.54
358,Incendies,2010,,8.3,80.0,141098,6.86
359,As Good as It Gets,1997,,7.7,67.0,269060,148.48
360,Blood Diamond,2006,,8.0,64.0,487861,57.37
361,Toy Story 3,2010,,8.3,92.0,736789,415.0
362,Rosemary's Baby,1968,,8.0,96.0,186360,
363,The Thin Red Line,1998,,7.6,78.0,168658,36.4
364,Sleepers,1996,,7.6,49.0,183306,49.1
365,Big Hero 6,2014,,7.8,74.0,399177,222.53
366,The Little Mermaid,1989,,7.6,88.0,230605,111.54
367,Citizen Kane,1941,,8.3,100.0,387438,1.59
368,Blow,2001,,7.6,52.0,235572,52.99
369,Straight Outta Compton,2015,,7.8,72.0,175472,161.2
370,Blue Velvet,1986,,7.8,76.0,175449,8.55
371,Wild Tales,2014,,8.1,77.0,168993,3.11
372,The Hurt Locker,2008,,7.6,95.0,412796,17.02
373,The Theory of Everything,2014,,7.7,72.0,388542,35.89
374,The Birds,1963,,7.7,90.0,166323,11.4
375,Cinema Paradiso,1988,,8.5,80.0,221389,11.99
376,28 Days Later...,2002,,7.6,73.0,368177,45.06
377,The Machinist,2004,,7.7,61.0,349474,1.08
378,American Gangster,2007,,7.8,76.0,382543,130.16
379,Searching,2018,,7.6,71.0,128823,26.02
380,The Magnificent Seven,1960,,7.7,74.0,85575,4.91
381,Bridge of Spies,2015,,7.6,81.0,279960,72.31
382,My Neighbor Totoro,1988,,8.2,86.0,275606,1.11
383,Ip Man,2008,,8.0,59.0,207114,
384,The Secret in Their Eyes,2009,,8.2,80.0,186798,6.39
385,Star Trek Into Darkness,2013,,7.7,72.0,457617,228.78
386,Short Term 12,2013,,8.0,82.0,79186,1.01
387,The Crow,1994,,7.6,71.0,163060,50.69
388,District 9,2009,,7.9,81.0,628691,115.65
389,Downfall,2004,,8.2,82.0,323382,5.51
390,How to Train Your Dragon,2010,,8.1,75.0,648845,217.58
391,The Game,1997,,7.8,61.0,335039,48.32
392,Who Framed Roger Rabbit,1988,,7.7,83.0,177772,156.45
393,Y Tu Mamá También,2001,,7.6,88.0,113221,13.62
394,Misery,1990,,7.8,75.0,178220,61.28
395,Grave of the Fireflies,1988,,8.5,94.0,223265,
396,Memories of Murder,2003,,8.1,82.0,126403,0.01
397,Beauty and the Beast,1991,,8.0,95.0,409329,218.97
398,Billy Elliot,2000,,7.7,74.0,123478,22.0
399,The Graduate,1967,,8.0,83.0,249029,104.95
400,Close Encounters of the Third Kind,1977,,7.6,90.0,179445,132.09
401,Only the Brave,2017,,7.6,72.0,54429,18.34
402,Enter the Dragon,1973,,7.7,83.0,94017,25.0
403,The Hunt for Red October,1990,,7.6,58.0,174213,122.01
404,The Butterfly Effect,2004,,7.6,30.0,442826,57.94
405,Match Point,2005,,7.6,72.0,202232,23.09
406,Being John Malkovich,1999,,7.7,90.0,302503,22.86
407,Boyz n the Hood,1991,,7.7,76.0,120997,57.5
408,Blazing Saddles,1974,,7.7,73.0,122870,119.5
409,Young Frankenstein,1974,,8.0,80.0,139911,86.3
410,The Fighter,2010,,7.8,79.0,332927,93.62
411,Dangal,2016,,8.4,,145961,12.39
412,It's a Wonderful Life,1946,,8.6,89.0,386505,
413,Man on Fire,2004,,7.7,47.0,322710,77.91
414,Raging Bull,1980,,8.2,89.0,312171,23.38
415,The Count of Monte Cristo,2002,,7.8,61.0,126395,54.23
416,Ran,1985,,8.2,96.0,108016,4.14
417,A Fistful of Dollars,1964,,8.0,65.0,191186,14.5
418,Sense and Sensibility,1995,,7.6,84.0,98939,43.18
419,Gifted,2017,,7.6,60.0,95035,24.8
420,Wreck-It Ralph,2012,,7.7,72.0,369990,189.42
421,Coraline,2009,,7.7,80.0,189890,75.29
422,Rain Man,1988,,8.0,65.0,463279,178.8
423,Captain Phillips,2013,,7.8,82.0,410339,107.1
424,The Naked Gun: From the Files of Police Squad!,1988,,7.6,76.0,147294,78.76
425,Lethal Weapon,1987,,7.6,68.0,231538,65.21
426,End of Watch,2012,,7.6,68.0,223597,41.0
427,The King's Speech,2010,,8.0,88.0,626137,138.8
428,The Farewell,2019,,7.6,89.0,43219,16.88
429,Falling Down,1993,,7.6,56.0,165644,40.9
430,Boyhood,2014,,7.9,100.0,329728,25.38
431,Togo,2019,,8.0,69.0,29708,
432,Mad Max 2: The Road Warrior,1981,,7.6,77.0,162810,12.47
433,Fantastic Mr. Fox,2009,,7.9,83.0,191820,21.0
434,Roma,2018,,7.7,96.0,133314,
435,North by Northwest,1959,,8.3,98.0,290174,13.28
436,Monty Python's Life of Brian,1979,,8.1,77.0,357642,20.05
437,The Man Who Shot Liberty Valance,1962,,8.1,94.0,66941,
438,Midnight Express,1978,,7.6,59.0,71349,35.0
439,I Saw the Devil,2010,,7.8,67.0,105182,0.13
440,Creed,2015,,7.6,82.0,240763,109.77
441,The Color Purple,1985,,7.8,78.0,76061,98.47
442,Stalker,1979,,8.2,,110908,0.23
443,Shoplifters,2018,,8.0,93.0,55450,3.31
444,Breakfast at Tiffany's,1961,,7.7,76.0,162357,
445,Glory,1989,,7.8,78.0,118339,26.83
446,The Royal Tenenbaums,2001,,7.6,76.0,259982,52.36
447,To Kill a Mockingbird,1962,,8.2,88.0,287782,
448,When Harry Met Sally...,1989,,7.6,76.0,189696,92.82
449,Some Like It Hot,1959,,8.2,98.0,236938,25.0
450,Dog Day Afternoon,1975,,8.0,86.0,229791,50.0
451,Changeling,2008,,7.7,63.0,232633,35.74
452,Barry Lyndon,1975,,8.1,89.0,144334,
453,Escape from Alcatraz,1979,,7.6,76.0,115509,43.0
454,Walk the Line,2005,,7.8,72.0,228504,119.52
455,Finding Neverland,2004,,7.7,67.0,195963,51.68
456,Harakiri,1962,,8.7,85.0,36266,
457,October Sky,1999,,7.8,71.0,79962,32.48
458,The Skin I Live In,2011,,7.6,70.0,134287,3.19
459,Mr. Nobody,2009,,7.8,63.0,210867,0.0
460,The Killing Fields,1984,,7.8,76.0,50212,34.7
461,This Is Spinal Tap,1984,,7.9,92.0,126161,0.19
462,Dogville,2003,,8.0,60.0,134402,1.53
463,The Elephant Man,1980,,8.1,78.0,213414,
464,Lost Highway,1997,,7.6,52.0,127014,3.8
465,Nausicaä of the Valley of the Wind,1984,,8.1,86.0,143713,0.5
466,Hunt for the Wilderpeople,2016,,7.9,81.0,103523,5.2
467,Mississippi Burning,1988,,7.8,65.0,84971,34.6
468,Carlito's Way,1993,,7.9,65.0,195672,36.95
